Compounds Name,aflowlib.org name,,ZX,,,ZAB,,ZAB,mX,,,,mAB,∆mAB,rowX,rowAB,∆rowAB,colX,colAB,∆colAB,eX,eAB,∆eAB,rX,rAB,∆rAB,χX,χAB,∆χAB,alatt,gap,cv,cs,κ˜grain,103P3,κtransf,κforest,κanh,class
CoGaW,Co1Ga1W1.T0003.CAB,,27,,,52.50,,43,58.93,,,,126.78,114.12,4,5,2,9,9.50,7,1.88,2.08,0.55,135,132.50,5,1.04,1.28,0.80,5.52,0.39,26.74,3.60,1.19,3.76,147.01,30.41,22.18,HIGH
CoGeMn,Co1Ge1Mn1.T0003.CAB,,27,,,28.50,,7,58.93,,,,63.79,17.70,4,4,0,9,10.50,7,1.88,1.78,0.46,135,132.50,15,1.04,1.42,0.95,5.32,0.98,29.95,3.52,2.29,1.82,136.08,22.92,NA,HIGH
CoGeNb,Co1Ge1Nb1.T0003.CAB,,27,,,36.50,,9,58.93,,,,82.77,20.27,4,4.50,1,9,9.50,9,1.88,1.80,0.41,135,135,20,1.04,1.36,1.08,5.59,1.08,25.56,4.26,1.47,1.24,228.84,21.79,36.17,HIGH
CoGeTa,Co1Ge1Ta1.T0003.CAB,,27,,,52.50,,41,58.93,,,,126.79,108.31,4,5,2,9,9.50,9,1.88,1.75,0.51,135,135,20,1.04,1.36,1.07,5.60,1.20,25.78,3.68,1.07,3.52,209.79,28.23,27.23,HIGH
CoGeV,Co1Ge1V1.T0003.CAB,,27,,,27.50,,9,58.93,,,,61.79,21.70,4,4,0,9,9.50,9,1.88,1.82,0.38,135,130,10,1.04,1.37,1.06,5.39,0.69,27.95,4.39,1.32,2.44,134.67,21.34,29.06,HIGH
CoHfP,Co1Hf1P1.T0003.CAB,,27,,,43.50,,57,58.93,,,,104.73,147.52,4,4.50,3,9,9.50,11,1.88,1.75,0.89,135,127.50,55,1.04,1.48,1.41,5.55,1.35,25.74,3.59,0.84,2.82,146.12,27.49,23.88,HIGH
CoHfSb,Co1Hf1Sb1.T0003.CAB,,27,,,61.50,,21,58.93,,,,150.12,56.73,4,5.50,1,9,9.50,11,1.88,1.68,0.75,135,150,10,1.04,1.43,1.30,5.93,1.12,22.27,3.37,0.99,3.97,92.57,23.17,21.87,HIGH
CoLaTe,Co1La1Te1.T0003.CAB,,27,,,54.50,,5,58.93,,,,133.25,11.31,4,5.50,1,9,9.50,13,1.88,1.60,1,135,167.50,55,1.04,1.51,1.61,6.40,0.63,18.40,3.34,0.97,6.22,3.33,9.02,1.42,LOW
CoMnSi,Co1Mn1Si1.T0003.CAB,,27,,,19.50,,11,58.93,,,,41.51,26.85,4,3.50,1,9,10.50,7,1.88,1.73,0.35,135,125,30,1.04,1.44,0.99,5.22,0.78,30.24,4.54,1.36,5.08,148.94,21.96,24.30,HIGH
CoNbSi,Co1Nb1Si1.T0003.CAB,,27,,,27.50,,27,58.93,,,,60.50,64.82,4,4,2,9,9.50,9,1.88,1.75,0.30,135,127.50,35,1.04,1.38,1.12,5.53,0.87,25.28,4.82,1.30,2.26,165.31,23.53,30.10,HIGH
CoNbSn,Co1Nb1Sn1.T0003.CAB,,27,,,45.50,,9,58.93,,,,105.81,25.80,4,5,0,9,9.50,9,1.88,1.78,0.36,135,145,0,1.04,1.33,1.02,5.85,0.98,22.88,3.80,1.34,2.56,143.27,22.84,20.70,HIGH
CoPTi,Co1P1Ti1.T0003.CAB,,27,,,18.50,,7,58.93,,,,39.42,16.89,4,3.50,1,9,9.50,11,1.88,1.86,0.65,135,120,40,1.04,1.49,1.39,5.34,1.41,27.41,5.20,2.01,0.71,503.06,22.82,62.89,HIGH
CoPZr,Co1P1Zr1.T0003.CAB,,27,,,27.50,,25,58.93,,,,61.10,60.25,4,4,2,9,9.50,11,1.88,1.76,0.86,135,127.50,55,1.04,1.47,1.42,5.61,1.28,24.78,4.29,1.86,1.40,338.79,22.46,26.18,HIGH
CoSbTi,Co1Sb1Ti1.T0003.CAB,,27,,,36.50,,29,58.93,,,,84.81,73.89,4,4.50,1,9,9.50,11,1.88,1.79,0.51,135,142.50,5,1.04,1.44,1.29,5.76,1.05,23.56,3.92,1.03,3.88,83.49,22.43,23.28,HIGH
CoSbV,Co1Sb1V1.T0003.CAB,,27,,,37,,28,58.93,,,,86.35,70.82,4,4.50,1,9,10,10,1.88,1.84,0.42,135,140,10,1.04,1.46,1.24,5.69,0.90,25.23,3.18,1.90,3.27,33.15,24.66,3.73,HIGH
CoSbZr,Co1Sb1Zr1.T0003.CAB,,27,,,45.50,,11,58.93,,,,106.49,30.54,4,5,0,9,9.50,11,1.88,1.69,0.72,135,150,10,1.04,1.42,1.32,5.98,1.05,21.58,3.83,1.14,2.39,103.98,22.53,24.38,HIGH
CoScSe,Co1Sc1Se1.T0003.CAB,,27,,,27.50,,13,58.93,,,,61.96,34.00,4,4,0,9,9.50,13,1.88,1.96,1.19,135,137.50,45,1.04,1.53,1.73,5.65,0.25,25.14,3.83,1.18,2.00,81.46,15.35,15.51,HIGH
CoScTe,Co1Sc1Te1.T0003.CAB,,27,,,36.50,,31,58.93,,,,86.28,82.64,4,4.50,1,9,9.50,13,1.88,1.73,0.74,135,150,20,1.04,1.50,1.65,5.91,0.88,22.17,3.77,1.03,2.94,90.74,18.18,17.89,HIGH
CoSiTa,Co1Si1Ta1.T0003.CAB,,27,,,43.50,,59,58.93,,,,104.52,152.86,4,4.50,3,9,9.50,9,1.88,1.70,0.40,135,127.50,35,1.04,1.39,1.11,5.53,1.23,25.52,4.05,1.07,1.90,417.56,33.20,36.86,HIGH
CoSiV,Co1Si1V1.T0003.CAB,,27,,,18.50,,9,58.93,,,,39.51,22.86,4,3.50,1,9,9.50,9,1.88,1.76,0.27,135,122.50,25,1.04,1.39,1.10,5.30,0.56,27.83,5.33,1.86,1.35,1125.48,20.65,64.61,HIGH
CoSnTa,Co1Sn1Ta1.T0003.CAB,,27,,,61.50,,23,58.93,,,,149.83,62.24,4,5.50,1,9,9.50,9,1.88,1.73,0.46,135,145,0,1.04,1.33,1.01,5.84,1.03,23.14,3.40,1.08,5.34,152.41,23.82,22.70,HIGH
CoSnV,Co1Sn1V1.T0003.CAB,,27,,,36.50,,27,58.93,,,,84.83,67.77,4,4.50,1,9,9.50,9,1.88,1.79,0.33,135,140,10,1.04,1.34,1,5.65,0.64,24.89,3.62,0.97,3.02,77.46,22.75,19.79,HIGH
CoTeY,Co1Te1Y1.T0003.CAB,,27,,,45.50,,13,58.93,,,,108.25,38.69,4,5,0,9,9.50,13,1.88,1.66,0.88,135,160,40,1.04,1.49,1.66,6.15,0.86,20.20,3.46,1.00,2.60,45.31,17.59,10.93,HIGH
CrBrCl,Br1Cl1Cr1.T0003.BCA,,24,,,26,,18,52.00,,,,57.68,44.45,4,3.50,1,6,17,0,1.66,3.06,0.20,140,107.50,15,0.89,2.67,0.06,5.85,2.93,22.97,4.53,1.67,3.49,17.15,24.69,8.43,HIGH
CuAsCa,As1Ca1Cu1.T0003.BCA,,29,,,26.50,,13,63.55,,,,57.50,34.84,4,4,0,11,8.50,13,1.90,1.59,1.18,135,147.50,65,1.20,1.38,1.56,6.07,0.20,20.94,2.93,1.05,4.63,8.95,4.93,2.70,LOW
CuGaTi,Cu1Ga1Ti1.T0003.CAB,,29,,,26.50,,9,63.55,,,,58.80,21.86,4,4,0,11,8.50,9,1.90,1.68,0.27,135,135,10,1.20,1.24,0.89,5.63,0.07,25.48,3.87,1.47,2.48,97.41,9.70,18.70,LOW
CuKTe,Cu1K1Te1.T0003.CAB,,29,,,35.50,,33,63.55,,,,83.35,88.50,4,4.50,1,11,8.50,15,1.90,1.46,1.28,135,180,80,1.20,1.33,1.97,6.44,0.42,17.91,3.04,0.50,10.97,0.46,2.66,0.25,LOW
CuLiTe,Cu1Li1Te1.T0003.CAB,,29,,,27.50,,49,63.55,,,,67.27,120.66,4,3.50,3,11,8.50,15,1.90,1.54,1.12,135,142.50,5,1.20,1.39,1.87,5.90,0.93,22.28,2.88,0.76,4.42,2.94,5.40,7.91,LOW
CuNaTe,Cu1Na1Te1.T0003.CAB,,29,,,31.50,,41,63.55,,,,75.29,104.61,4,4,2,11,8.50,15,1.90,1.51,1.17,135,160,40,1.20,1.36,1.92,6.22,0.37,19.76,2.57,0.51,9.94,7.38,4.58,2.18,LOW
CuSbSr,Cu1Sb1Sr1.T0003.CAB,,29,,,44.50,,13,63.55,,,,104.69,34.14,4,5,0,11,8.50,13,1.90,1.50,1.10,135,172.50,55,1.20,1.31,1.53,6.47,0.03,17.70,2.86,0.82,2.43,11.33,4.22,2.27,LOW
FeAsCr,As1Cr1Fe1.T0003.BCA,,26,,,28.50,,9,55.84,,,,63.46,22.93,4,4,0,8,10.50,9,1.83,1.92,0.52,140,127.50,25,0.99,1.52,1.27,5.34,0.96,29.11,3.84,2.22,1.32,257.25,33.42,30.37,HIGH
FeAsMn,As1Fe1Mn1.T0003.ABC,,26,,,29,,8,55.84,,,,64.93,19.98,4,4,0,8,11,8,1.83,1.86,0.63,140,127.50,25,0.99,1.55,1.22,5.31,1.03,29.89,3.54,1.10,4.69,59.11,32.70,33.78,HIGH
FeAsNb,As1Fe1Nb1.T0003.ABC,,26,,,37,,8,55.84,,,,83.91,17.98,4,4.50,1,8,10,10,1.83,1.89,0.58,140,130,30,0.99,1.49,1.34,5.59,0.58,25.48,4.25,1.62,1.51,482.51,33.78,47.63,HIGH
FeAsTa,As1Fe1Ta1.T0003.ABC,,26,,,53,,40,55.84,,,,127.94,106.03,4,5,2,8,10,10,1.83,1.84,0.68,140,130,30,0.99,1.50,1.33,5.59,0.92,25.65,3.65,1.18,4.07,295.62,39.74,32.89,HIGH
FeAsV,As1Fe1V1.T0003.ABC,,26,,,28,,10,55.84,,,,62.93,23.98,4,4,0,8,10,10,1.83,1.91,0.55,140,125,20,0.99,1.50,1.32,5.39,0.36,27.78,4.47,1.43,2.24,191.49,34.54,39.80,HIGH
FeCaTe,Ca1Fe1Te1.T0003.ABC,,26,,,36,,32,55.84,,,,83.84,87.52,4,4.50,1,8,9,14,1.83,1.55,1.10,140,160,40,0.99,1.46,1.72,6.19,0.26,20.07,2.85,0.84,7.76,5.67,11.04,1.38,HIGH
FeGeW,Fe1Ge1W1.T0003.CAB,,26,,,53,,42,55.84,,,,128.24,111.20,4,5,2,8,10,8,1.83,2.19,0.35,140,130,10,0.99,1.39,1.01,5.53,0.22,26.32,3.79,1.18,4.39,287.50,40.12,32.79,HIGH
FeHfTe,Fe1Hf1Te1.T0003.CAB,,26,,,62,,20,55.84,,,,153.04,50.89,4,5.50,1,8,10,12,1.83,1.70,0.80,140,147.50,15,0.99,1.55,1.54,5.92,0.80,22.27,3.37,1.10,4.93,124.53,26.20,27.95,HIGH
FeMnSb,Fe1Mn1Sb1.T0003.CAB,,26,,,38,,26,55.84,,,,88.35,66.82,4,4.50,1,8,11,8,1.83,1.80,0.50,140,142.50,5,0.99,1.51,1.14,5.59,0.98,26.12,3.12,0.85,7.31,47.67,32.59,8.88,HIGH
FeNbP,Fe1Nb1P1.T0003.CAB,,26,,,28,,26,55.84,,,,61.94,61.93,4,4,2,8,10,10,1.83,1.90,0.59,140,122.50,45,0.99,1.50,1.36,5.45,0.51,26.11,4.75,1.76,1.26,603.10,45.52,49.45,HIGH
FeNbSb,Fe1Nb1Sb1.T0003.CAB,,26,,,46,,10,55.84,,,,107.33,28.85,4,5,0,8,10,10,1.83,1.82,0.45,140,145,0,0.99,1.45,1.26,5.84,0.54,22.75,3.96,1.19,3.56,131.27,30.29,29.07,HIGH
FePTa,Fe1P1Ta1.T0003.CAB,,26,,,44,,58,55.84,,,,105.96,149.97,4,4.50,3,8,10,10,1.83,1.84,0.69,140,122.50,45,0.99,1.50,1.35,5.46,0.84,26.28,3.92,1.24,2.99,476.11,46.48,59.31,HIGH
FePV,Fe1P1V1.T0003.CAB,,26,,,19,,8,55.84,,,,40.96,19.97,4,3.50,1,8,10,10,1.83,1.91,0.56,140,117.50,35,0.99,1.51,1.34,5.24,0.32,28.51,5.37,2.05,0.89,997.75,32.15,87.19,HIGH
FeSbTa,Fe1Sb1Ta1.T0003.CAB,,26,,,62,,22,55.84,,,,151.35,59.19,4,5.50,1,8,10,10,1.83,1.77,0.55,140,145,0,0.99,1.46,1.25,5.84,0.86,22.94,3.55,1.17,5.09,228.55,30.46,31.23,HIGH
FeSbV,Fe1Sb1V1.T0003.CAB,,26,,,37,,28,55.84,,,,86.35,70.82,4,4.50,1,8,10,10,1.83,1.84,0.42,140,140,10,0.99,1.46,1.24,5.67,0.34,24.52,3.79,1.11,3.65,75.94,32.85,24.12,HIGH
FeSbZr,Fe1Sb1Zr1.T0003.CAB,,26,,,45.50,,11,55.84,,,,106.49,30.54,4,5,0,8,9.50,11,1.83,1.69,0.72,140,150,10,0.99,1.42,1.32,6.02,1.04,21.72,2.88,1.17,3.90,24.63,28.41,1.97,HIGH
FeSeTi,Fe1Se1Ti1.T0003.CAB,,26,,,28,,12,55.84,,,,63.41,31.09,4,4,0,8,10,12,1.83,2.04,1.01,140,127.50,25,0.99,1.59,1.61,5.49,0.89,26.66,4.20,1.48,1.53,120.76,24.09,33.32,HIGH
FeSeV,Fe1Se1V1.T0003.CAB,,26,,,28.50,,11,55.84,,,,64.95,28.02,4,4,0,8,10.50,11,1.83,2.09,0.92,140,125,20,0.99,1.62,1.56,5.41,1.20,28.63,3.03,2.17,1.79,90.30,26.60,10.15,HIGH
FeSeZr,Fe1Se1Zr1.T0003.CAB,,26,,,37,,6,55.84,,,,85.09,12.26,4,4.50,1,8,10,12,1.83,1.94,1.22,140,135,40,0.99,1.58,1.64,5.73,0.08,24.17,3.72,1.33,2.40,71.17,20.18,18.89,HIGH
FeSiW,Fe1Si1W1.T0003.CAB,,26,,,44,,60,55.84,,,,105.96,155.75,4,4.50,3,8,10,8,1.83,2.13,0.46,140,122.50,25,0.99,1.41,1.05,5.47,0.06,25.98,4.22,1.21,2.17,582.20,44.95,30.34,HIGH
FeTeTi,Fe1Te1Ti1.T0003.CAB,,26,,,37,,30,55.84,,,,87.73,79.73,4,4.50,1,8,10,12,1.83,1.82,0.56,140,140,0,0.99,1.55,1.53,5.75,0.99,23.52,3.95,1.15,3.55,90.40,28.64,26.22,HIGH
FeTeV,Fe1Te1V1.T0003.CAB,,26,,,37.50,,29,55.84,,,,89.27,76.66,4,4.50,1,8,10.50,11,1.83,1.86,0.47,140,137.50,5,0.99,1.58,1.48,5.68,1.32,25.16,2.93,1.89,3.06,33.78,31.82,1.26,HIGH
FeTeZr,Fe1Te1Zr1.T0003.CAB,,26,,,46,,12,55.84,,,,109.41,36.38,4,5,0,8,10,12,1.83,1.72,0.77,140,147.50,15,0.99,1.54,1.56,5.97,1.16,21.59,3.83,1.25,2.59,94.77,25.86,25.71,HIGH
GaAlSr,Al1Ga1Sr1.T0003.ABC,,31,,,25.50,,25,69.72,,,,57.30,60.64,4,4,2,13,7.50,11,1.81,1.28,0.66,130,162.50,75,1.68,1.10,1.11,6.68,0.08,15.81,3.10,0.56,3.43,4.25,5.15,4.80,LOW
GaCdY,Cd1Ga1Y1.T0003.ABC,,31,,,43.50,,9,69.72,,,,100.66,23.51,4,5,0,13,7.50,9,1.81,1.46,0.47,130,167.50,25,1.68,1.01,0.70,6.44,0.07,17.80,2.81,0.52,8.29,6.58,5.90,5.48,LOW
GaMgSc,Ga1Mg1Sc1.T0003.CAB,,31,,,16.50,,9,69.72,,,,34.63,20.65,4,3.50,1,13,2.50,1,1.81,1.33,0.05,130,155,10,1.68,0.97,0.61,6.31,0.04,18.32,3.81,0.90,2.79,12.90,4.93,13.25,LOW
GeAgLa,Ag1Ge1La1.T0003.ABC,,32,,,52,,10,72.64,,,,123.39,31.04,4,5.50,1,14,7,8,2.01,1.51,0.83,125,177.50,35,1.90,0.94,0.47,6.65,0.41,16.34,2.11,0.94,9.07,3.92,4.58,1.41,LOW
GeAgSc,Ag1Ge1Sc1.T0003.ABC,,32,,,34,,26,72.64,,,,76.41,62.91,4,4.50,1,14,7,8,2.01,1.65,0.57,125,160,0,1.90,0.93,0.51,6.13,0.39,20.35,2.98,0.64,6.40,13.20,7.28,6.19,LOW
GeAgY,Ag1Ge1Y1.T0003.ABC,,32,,,43,,8,72.64,,,,98.39,18.96,4,5,0,14,7,8,2.01,1.57,0.71,125,170,20,1.90,0.92,0.52,6.37,0.57,18.37,2.63,0.48,5.95,4.36,5.67,NA,LOW
GeAlLi,Al1Ge1Li1.T0003.ABC,,32,,,8,,10,72.64,,,,16.96,20.04,4,2.50,1,14,7,12,2.01,1.29,0.63,125,135,20,1.90,1.05,1.21,5.89,0.05,21.25,4.09,1.11,3.13,5.37,5.41,16.45,LOW
GeAlNa,Al1Ge1Na1.T0003.ABC,,32,,,12,,2,72.64,,,,24.99,3.99,4,3,0,14,7,12,2.01,1.27,0.68,125,152.50,55,1.90,1.03,1.26,6.22,0.07,18.92,3.72,0.92,3.79,8.13,4.50,8.95,LOW
GeBaK,Ba1Ge1K1.T0003.ABC,,32,,,37.50,,37,72.64,,,,88.21,98.23,4,5,2,14,1.50,1,2.01,0.85,0.07,125,217.50,5,1.90,0.42,0.15,7.72,0.79,10.60,2.33,0.33,8.11,0.21,4.08,0.22,LOW
GeBaNa,Ba1Ge1Na1.T0003.ABC,,32,,,33.50,,45,72.64,,,,80.16,114.34,4,4.50,3,14,1.50,1,2.01,0.91,0.04,125,197.50,35,1.90,0.45,0.10,7.39,0.86,12.04,1.92,0.25,5.41,0.24,4.67,2.44,LOW
GeBaSr,Ba1Ge1Sr1.T0003.ABC,,32,,,47,,18,72.64,,,,112.47,49.71,4,5.50,1,14,2,0,2.01,0.92,0.06,125,207.50,15,1.90,0.53,0.05,7.66,0.16,10.87,2.04,0.40,5.43,0.70,2.93,1.35,LOW
GeCaCd,Ca1Cd1Ge1.T0003.BCA,,32,,,34,,28,72.64,,,,76.24,72.33,4,4.50,1,14,7,10,2.01,1.34,0.69,125,167.50,25,1.90,0.98,0.76,6.51,0.09,17.16,2.94,0.51,7.37,5.61,5.60,4.12,LOW
GeCaMg,Ca1Ge1Mg1.T0003.ABC,,32,,,16,,8,72.64,,,,32.19,15.77,4,3.50,1,14,2,0,2.01,1.16,0.31,125,165,30,1.90,0.94,0.68,6.62,0.71,16.05,3.59,0.83,3.69,3.34,4.71,6.03,LOW
GeCaSr,Ca1Ge1Sr1.T0003.ABC,,32,,,29,,18,72.64,,,,63.85,47.54,4,4.50,1,14,2,0,2.01,0.97,0.05,125,190,20,1.90,0.57,0.05,7.25,0.45,12.64,2.89,0.49,5.17,1.01,3.91,NA,LOW
GeCaZn,Ca1Ge1Zn1.T0003.ABC,,32,,,25,,10,72.64,,,,52.74,25.33,4,4,0,14,7,10,2.01,1.32,0.65,125,157.50,45,1.90,1.02,0.84,6.31,0.37,18.66,2.96,1.31,5.97,8.72,4.95,2.77,LOW
GeKLa,Ge1K1La1.T0003.CAB,,32,,,38,,38,72.64,,,,89.00,99.81,4,5,2,14,2,2,2.01,0.96,0.28,125,207.50,25,1.90,0.53,0.35,7.30,0.25,12.46,1.96,0.40,10.51,0.96,4.71,NA,LOW
GeKSr,Ge1K1Sr1.T0003.CAB,,32,,,28.50,,19,72.64,,,,63.36,48.52,4,4.50,1,14,1.50,1,2.01,0.89,0.13,125,210,20,1.90,0.45,0.20,7.52,0.89,11.44,1.86,0.38,7.38,0.20,3.93,NA,LOW
GeKY,Ge1K1Y1.T0003.CAB,,32,,,29,,20,72.64,,,,64.00,49.81,4,4.50,1,14,2,2,2.01,1.02,0.40,125,200,40,1.90,0.51,0.31,7.13,0.33,13.29,2.38,0.63,6.55,0.85,4.70,1.24,LOW
GeLiSc,Ge1Li1Sc1.T0003.CAB,,32,,,12,,18,72.64,,,,25.95,38.01,4,3,2,14,2,2,2.01,1.17,0.38,125,152.50,15,1.90,0.56,0.22,6.14,0.73,18.94,3.21,0.67,2.98,12.60,4.84,23.70,LOW
GeLiY,Ge1Li1Y1.T0003.CAB,,32,,,21,,36,72.64,,,,47.92,81.96,4,3.50,3,14,2,2,2.01,1.10,0.24,125,162.50,35,1.90,0.56,0.21,6.45,0.66,16.82,2.76,0.45,3.90,11.13,4.86,27.77,LOW
GeMgSr,Ge1Mg1Sr1.T0003.CAB,,32,,,25,,26,72.64,,,,55.96,63.31,4,4,2,14,2,0,2.01,1.13,0.36,125,175,50,1.90,0.92,0.73,6.80,0.69,15.02,3.04,0.58,3.91,2.65,5.20,NA,LOW
GeNaSc,Ge1Na1Sc1.T0003.CAB,,32,,,16,,10,72.64,,,,33.97,21.97,4,3.50,1,14,2,2,2.01,1.15,0.43,125,170,20,1.90,0.54,0.27,6.47,0.67,17.25,3.26,0.88,3.20,4.38,4.88,8.91,LOW
GeNaY,Ge1Na1Y1.T0003.CAB,,32,,,25,,28,72.64,,,,55.95,65.92,4,4,2,14,2,2,2.01,1.07,0.29,125,180,0,1.90,0.53,0.26,6.72,0.56,15.57,2.87,0.59,4.29,1.82,5.17,8.17,LOW
HgAlLa,Al1Hg1La1.T0003.ABC,,80,,,35,,44,200.59,,,,82.94,111.92,6,4.50,3,12,8,10,2,1.35,0.51,150,160,70,1.32,1.18,0.95,6.85,0.06,14.88,2.12,0.29,10.82,5.34,3.42,8.49,LOW
HgAlSc,Al1Hg1Sc1.T0003.ABC,,80,,,17,,8,200.59,,,,35.97,17.97,6,3.50,1,12,8,10,2,1.49,0.25,150,142.50,35,1.32,1.17,0.99,6.30,0.09,18.39,3.03,0.70,2.23,65.45,3.94,13.42,LOW
HgAlY,Al1Hg1Y1.T0003.ABC,,80,,,26,,26,200.59,,,,57.94,61.92,6,4,2,12,8,10,2,1.42,0.39,150,152.50,55,1.32,1.16,1,6.55,0.08,16.69,2.59,0.42,10.22,10.02,3.60,9.31,LOW
HgInLa,Hg1In1La1.T0003.CAB,,80,,,53,,8,200.59,,,,126.86,24.09,6,5.50,1,12,8,10,2,1.44,0.68,150,175,40,1.32,1.15,0.90,6.85,0.14,15.04,2.16,0.36,11.12,4.10,2.79,3.15,LOW
InBaSr,Ba1In1Sr1.T0003.ABC,,49,,,47,,18,114.82,,,,112.47,49.71,5,5.50,1,13,2,0,1.78,0.92,0.06,155,207.50,15,1.60,0.53,0.05,8.01,0.21,9.57,1.99,0.24,7.54,0.20,1.33,1.17,LOW
InCdY,Cd1In1Y1.T0003.ABC,,49,,,43.50,,9,114.82,,,,100.66,23.51,5,5,0,13,7.50,9,1.78,1.46,0.47,155,167.50,25,1.60,1.01,0.70,6.70,0.10,15.96,2.45,0.44,7.65,3.88,3.45,4.39,LOW
InMgSc,In1Mg1Sc1.T0003.CAB,,49,,,16.50,,9,114.82,,,,34.63,20.65,5,3.50,1,13,2.50,1,1.78,1.33,0.05,155,155,10,1.60,0.97,0.61,6.62,0.11,16.09,3.21,0.63,3.52,5.20,3.14,13.51,LOW
InMgY,In1Mg1Y1.T0003.CAB,,49,,,25.50,,27,114.82,,,,56.61,64.60,5,4,2,13,2.50,1,1.78,1.26,0.09,155,165,30,1.60,0.97,0.62,6.86,0.19,14.65,2.87,0.43,4.63,5.13,3.17,11.88,LOW
IrAsCr,As1Cr1Ir1.T0003.BCA,,77,,,28.50,,9,192.22,,,,63.46,22.93,6,4,0,9,10.50,9,2.20,1.92,0.52,135,127.50,25,1.05,1.52,1.27,5.70,0.53,25.32,2.02,1.54,5.19,30.41,22.60,0.45,HIGH
IrAsTi,As1Ir1Ti1.T0003.ABC,,77,,,27.50,,11,192.22,,,,61.39,27.05,6,4,0,9,9.50,11,2.20,1.86,0.64,135,127.50,25,1.05,1.48,1.37,5.84,0.74,22.91,3.25,0.85,4.92,110.39,21.39,30.07,HIGH
IrAsV,As1Ir1V1.T0003.ABC,,77,,,28,,10,192.22,,,,62.93,23.98,6,4,0,9,10,10,2.20,1.91,0.55,135,125,20,1.05,1.50,1.32,5.75,0.79,24.15,2.90,0.91,3.21,89.77,23.33,14.81,HIGH
IrAsZr,As1Ir1Zr1.T0003.ABC,,77,,,36.50,,7,192.22,,,,83.07,16.30,6,4.50,1,9,9.50,11,2.20,1.75,0.85,135,135,40,1.05,1.46,1.40,6.06,0.29,20.92,3.02,0.91,2.94,120.69,21.42,17.40,HIGH
IrBiTi,Bi1Ir1Ti1.T0003.ABC,,77,,,52.50,,61,192.22,,,,128.42,161.11,6,5,2,9,9.50,11,2.20,1.78,0.48,135,150,20,1.05,1.42,1.25,6.19,0.60,19.83,2.51,0.58,7.20,28.26,28.79,9.78,HIGH
